word,ipa
수용자,s0 uu yo ng c0 aa
여진족,yv c0 ii nf c0 oo kf
마르탱,mm aa rr xx th qq ng
피오르드,ph ii oo rr xx t0 xx
사법권,s0 aa p0 vv pf kk wv nf
유재,yu c0 qq
잠수함,c0 aa mf s0 uu h0 aa mf
돌연,t0 oo ll rr yv nf
성화,s0 vv ng h0 wa
펌,ph vv mf
여쭈,yv cc uu
처치,ch vv ch ii
간균,k0 aa nf k0 yu nf
섬광,s0 vv mf k0 wa ng
일컫,ii ll kh vv tf
ㄴ대,t0 qq
어림,vv rr ii mf
안토니,aa nf th oo nn ii
관용,k0 wa nf nn yo ng
어리,vv rr ii
암꽃,aa mf kk oo tf
청대,ch vv ng t0 qq
앨런,qq ll rr vv nf
말,mm aa ll
관원,k0 wa nn wv nf
게라,k0 ee rr aa
다음달,t0 aa xx mf tt aa ll
전염성,c0 vv nf nn yv mf s0 vv ng
마르크,mm aa rr xx kh xx
ㄴ데,t0 ee
영부인,yv ng p0 uu ii nf
아마미,aa mm aa mm ii
소피스트,s0 oo ph ii s0 xx th xx
스탠드,s0 xx th qq nf t0 xx
폐회,ph ye h0 wo
폐해,ph ye h0 qq
베누스,p0 ee nn uu s0 xx
폐합,ph ye h0 aa pf
설립자,s0 vv ll rr ii pf cc aa
럭키,rr vv kf kh ii
다다미,t0 aa t0 aa mm ii
폐하,ph ye h0 aa
서해안,s0 vv h0 qq aa nf
식초,s0 ii kf ch oo
스크린,s0 xx kh xx rr ii nf
잉크,ii ng kh xx
여주,yv c0 uu
파나마,ph aa nn aa mm aa
이화학,ii h0 wa h0 aa kf
여종,yv c0 oo ng
관아,k0 wa nn aa
관악,k0 wa nn aa kf
맺었으,mm qq c0 vv ss xx
멸문,mm yv ll mm uu nf
지침서,c0 ii ch ii mf s0 vv
싫,s0 ii ll
휘말리,h0 wi mm aa ll rr ii
무선,mm uu s0 vv nf
송정동,s0 oo ng c0 vv ng t0 oo ng
은은,xx nn xx nf
수준의,s0 uu c0 uu nn xi
잉태,ii ng th qq
로시니,rr oo s0 ii nn ii
윙,wi ng
은의,xx nn xi
어명,vv mm yv ng
면상,mm yv nf s0 aa ng
특허권,th xx kh vv k0 wv nf
민비,mm ii nf p0 ii
섬기,s0 vv mf k0 ii
비상시,p0 ii s0 aa ng s0 ii
비상식,p0 ii s0 aa ng s0 ii kf
폐허,ph ye h0 vv
원시림,wv nf s0 ii rr ii mf
정지상,c0 vv ng c0 ii s0 aa ng
여전,yv c0 vv nf
보정,p0 oo c0 vv ng
관이,k0 wa nn ii
쳐내,ch yv nn qq
여정,yv c0 vv ng
옹립,oo ng nn ii pf
자라,c0 aa rr aa
여점,yv c0 vv mf
여제,yv c0 ee
스크류,s0 xx kh xx rr yu
총량,ch oo ng nn ya ng
관인,k0 wa nn ii nf
녀석,nn yv s0 vv kf
은유,xx nf nn yu
일축,ii ll ch uu kf
일출,ii ll ch uu ll
관여,k0 wa nf nn yv
담보권,t0 aa mf p0 oo k0 wv nf
당당히,t0 aa ng t0 aa ng h0 ii
랜딩,rr qq nf t0 ii ng
여진,yv c0 ii nf
산도,s0 aa nf t0 oo
여지,yv c0 ii
랜드,rr qq nf t0 xx
경영인,k0 yv ng nn yv ng ii nf
보전,p0 oo c0 vv nf
어문,vv mm uu nf
고속버스,k0 oo s0 oo kf pp vv s0 xx
어묵,vv mm uu kf
평방,ph yv ng p0 aa ng
길르,k0 ii ll rr xx
면서,mm yv nf s0 vv
루시퍼,rr uu s0 ii ph vv
답변,t0 aa pf pp yv nf
일차,ii ll ch aa
불법적,p0 uu ll pp vv pf cc vv kf
반대쪽,p0 aa nf t0 qq cc oo kf
햄버거,h0 qq mf p0 vv k0 vv
앞장,aa pf cc aa ng
마르틴,mm aa rr xx th ii nf
굴,k0 uu ll
마르티,mm aa rr xx th ii
일찍,ii ll cc ii kf
청년,ch vv ng nn yv nf
얄,ya ll
티코,th ii kh oo
처리장,ch vv rr ii c0 aa ng
평범,ph yv ng p0 vv mf
광화문,k0 wa ng h0 wa mm uu nf
생물학자,s0 qq ng mm uu ll h0 aa kf cc aa
열대성,yv ll t0 qq s0 vv ng
티켓,th ii kh ee tf
일체,ii ll ch ee
쫒기,cc oo tf kk ii
꿈,kk uu mf
핏,ph ii tf
티케,th ii kh ee
비고,p0 ii k0 oo
여중,yv c0 uu ng
어민,vv mm ii nf
어미,vv mm ii
스크롤,s0 xx kh xx rr oo ll
연결고리,yv nf k0 yv ll kk oo rr ii
일천,ii ll ch vv nf
관장,k0 wa nf c0 aa ng
경영자,k0 yv ng nn yv ng c0 aa
처참,ch vv ch aa mf
평문,ph yv ng mm uu nf
란스,rr aa nf s0 xx
올,oo ll
게다,k0 ee t0 aa
택하,th qq kh aa
간이,k0 aa nn ii
전문직,c0 vv nf mm uu nf c0 ii kf
전문지,c0 vv nf mm uu nf c0 ii
인가,ii nf k0 aa
스퀘어,s0 xx kh we vv
호트,h0 oo th xx
인간,ii nf k0 aa nf
거,k0 vv
선택적,s0 vv nf th qq kf cc vv kf
인감,ii nf k0 aa mf
꽃덮이,kk oo tf tt vv ph ii
어법,vv p0 vv pf
간간히,k0 aa nf k0 aa nf h0 ii
인과,ii nf k0 wa
로코코,rr oo kh oo kh oo
여치,yv ch ii
인공,ii nf k0 oo ng
시니어,s0 ii nn ii vv
이준경,ii c0 uu nf k0 yv ng
오지리,oo c0 ii rr ii
인계,ii nf k0 ye
랜덤,rr qq nf t0 vv mf
인격,ii nf k0 yv kf
일리치,ii ll rr ii ch ii
인경,ii nf k0 yv ng
브레스트,p0 xx rr ee s0 xx th xx
민련,mm ii ll rr yv nf
노라고,nn oo rr aa k0 oo
덥,t0 vv pf
평민,ph yv ng mm ii nf
어보,vv p0 oo
용혈성,yo ng h0 yv ll s0 vv ng
은성,xx nf s0 vv ng
미국령,mm ii k0 uu ng nn yv ng
조지아,c0 oo c0 ii aa
갑산군,k0 aa pf ss aa nf k0 uu nf
은상,xx nf s0 aa ng
인구,ii nf k0 uu
가리기,k0 aa rr ii k0 ii
은색,xx nf ss qq kf
청량,ch vv ng nn ya ng
입김,ii pf kk ii mf
메커니즘,mm ee kh vv nn ii c0 xx mf
애국적,qq k0 uu kf cc vv kf
우려내,uu rr yv nn qq
생식기,s0 qq ng s0 ii kf kk ii
스무스,s0 xx mm uu s0 xx
함경남도,h0 aa mf k0 yv ng nn aa mf t0 oo
털,th vv ll
ㅡ,
입금,ii pf kk xx mf
균등,k0 yu nf t0 xx ng
마이크로폰,mm aa ii kh xx rr oo ph oo nf
무스,mm uu s0 xx
도모,t0 oo mm oo
평면,ph yv ng mm yv nf
은사,xx nf s0 aa
은산,xx nf s0 aa nf
발사대,p0 aa ll s0 aa t0 qq
무시,mm uu s0 ii
전문점,c0 vv nf mm uu nf c0 vv mf
인근,ii nf k0 xx nf
카세트,kh aa s0 ee th xx
전문적,c0 vv nf mm uu nf c0 vv kf
사할린,s0 aa h0 aa ll rr ii nf
빅토리아,p0 ii kf th oo rr ii aa
짜여지,cc aa yv c0 ii
겹치,k0 yv pf ch ii
선택지,s0 vv nf th qq kf cc ii
관습,k0 wa nf s0 xx pf
입상자,ii pf ss aa ng c0 aa
스털링,s0 xx th vv ll rr ii ng
중견수,c0 uu ng k0 yv nf s0 uu
관식,k0 wa nf s0 ii kf
인권,ii nf k0 wv nf
공식화하,k0 oo ng s0 ii kh wa h0 aa
방랑자,p0 aa ng nn aa ng c0 aa
관심,k0 wa nf s0 ii mf
소프라노,s0 oo ph xx rr aa nn oo
면장,mm yv nf c0 aa ng
우편,uu ph yv nf
처지,ch vv c0 ii
개화파,k0 qq h0 wa ph aa
어브,vv p0 xx
총대,ch oo ng t0 qq
입교,ii pf kk yo
관서,k0 wa nf s0 vv
입국,ii pf kk uu kf
입구,ii pf kk uu
관선,k0 wa nf s0 vv nf
관성,k0 wa nf s0 vv ng
관세,k0 wa nf s0 ee
주나라,c0 uu nn aa rr aa
쟁,c0 qq ng
무한대,mm uu h0 aa nf t0 qq
여천,yv ch vv nf
터키계,th vv kh ii k0 ye
방해죄,p0 aa ng h0 qq c0 wo
원작자,wv nf c0 aa kf cc aa
장려상,c0 aa ng nn yv s0 aa ng
기주,k0 ii c0 uu
쳐들,ch yv t0 xx ll
덮,t0 vv pf
성폭력,s0 vv ng ph oo ng nn yv kf
굴지,k0 uu ll c0 ii
티라나,th ii rr aa nn aa
도자기,t0 oo c0 aa k0 ii
정성공,c0 vv ng s0 vv ng k0 oo ng
소리내,s0 oo rr ii nn qq
일진,ii ll c0 ii nf
일지,ii ll c0 ii
마주하,mm aa c0 uu h0 aa
착란,ch aa ng nn aa nf
간체자,k0 aa nf ch ee c0 aa
곧바로,k0 oo tf pp aa rr oo
크로마토그래피,kh xx rr oo mm aa th oo k0 xx rr qq ph ii
한민족,h0 aa nf mm ii nf c0 oo kf
오버헤드,oo p0 vv h0 ee t0 xx
비상용,p0 ii s0 aa ng nn yo ng
유기물,yu k0 ii mm uu ll
총독,ch oo ng t0 oo kf
무실,mm uu s0 ii ll
최종적,ch wo c0 oo ng c0 vv kf
매출액,mm qq ch uu rr qq kf
숭실대학교,s0 uu ng s0 ii ll t0 qq h0 aa kf kk yo
흐지부지,h0 xx c0 ii p0 uu c0 ii
챔프,ch qq mf ph xx
유카탄,yu kh aa th aa nf
서임권,s0 vv ii mf k0 wv nf
일조,ii ll c0 oo
일족,ii ll c0 oo kf
표범,ph yo p0 vv mf
부적합하,p0 uu c0 vv kh aa ph aa
호투,h0 oo th uu
게놈,k0 ee nn oo mf
평론가,ph yv ng nn oo nf k0 aa
분향소,p0 uu nf h0 ya ng s0 oo
을미,xx ll mm ii
쳐들어오,ch yv t0 xx rr vv oo
입건,ii pf kk vv nf
평로,ph yv ng nn oo
입각,ii pf kk aa kf
혼고,h0 oo nf k0 oo
안데스,aa nf t0 ee s0 xx
일정,ii ll c0 vv ng
일제,ii ll c0 ee
수용소,s0 uu yo ng s0 oo
제도,c0 ee t0 oo
일전,ii ll c0 vv nf
제독,c0 ee t0 oo kf
장덕수,c0 aa ng t0 vv kf ss uu
평론,ph yv ng nn oo nf
사하구,s0 aa h0 aa k0 uu
일절,ii ll cc vv ll
붕당,p0 uu ng t0 aa ng
일주,ii ll c0 uu
울산,uu ll s0 aa nf
양귀비,ya ng k0 wi p0 ii
수미산,s0 uu mm ii s0 aa nf
콘퍼런스,kh oo nf ph vv rr vv nf s0 xx
정책적,c0 vv ng ch qq kf cc vv kf
이언적,ii vv nf c0 vv kf
면역,mm yv nf nn yv kf
읽히,ii ll kh ii
관상,k0 wa nf s0 aa ng
윈드,wi nf t0 xx
민물,mm ii nf mm uu ll
탁음,th aa k0 xx mf
수용성,s0 uu yo ng s0 vv ng
파종,ph aa c0 oo ng
을묘,xx ll mm yo
쏘,ss oo
교회사,k0 yo h0 wo s0 aa
답례,t0 aa mf nn ye
비상임,p0 ii s0 aa ng ii mf
일종,ii ll c0 oo ng
수류탄,s0 uu rr yu th aa nf
기름지,k0 ii rr xx mf c0 ii
법화경,p0 vv ph wa k0 yv ng
일일,ii rr ii ll
가치관,k0 aa ch ii k0 wa nf
손병희,s0 oo nf p0 yv ng h0 xi
송정리,s0 oo ng c0 vv ng nn ii
일인,ii rr ii nf
동양화,t0 oo ng nn ya ng h0 wa
적임자,c0 vv k0 ii mf c0 aa
여신,yv s0 ii nf
일의,ii rr xi
노환,nn oo h0 wa nf
일은,ii rr xx nf
못생기,mm oo tf ss qq ng k0 ii
난시,nn aa nf s0 ii
노화,nn oo h0 wa
청명,ch vv ng mm yv ng
웰링턴,we ll rr ii ng th vv nf
체하,ch ee h0 aa
엉,vv ng
황금색,h0 wa ng k0 xx mf s0 qq kf
처자,ch vv c0 aa
네기,nn ee k0 ii
착륙,ch aa ng nn yu kf
미행,mm ii h0 qq ng
컨트롤,kh vv nf th xx rr oo ll
노현,nn oo h0 yv nf
처장,ch vv c0 aa ng
보증인,p0 oo c0 xx ng ii nf
어르,vv rr xx
좀,c0 oo mf
브루나이,p0 xx rr uu nn aa ii
처음,ch vv xx mf
하마도,h0 aa mm aa t0 oo
아모스,aa mm oo s0 xx
남양주시,nn aa mf nn ya ng c0 uu s0 ii
선포,s0 vv nf ph oo
처의,ch vv xi
니미츠,nn ii mm ii ch xx
슈프,s0 yu ph xx
정기권,c0 vv ng k0 ii k0 wv nf
도르트문트,t0 oo rr xx th xx mm uu nf th xx
노후,nn oo h0 uu
미학,mm ii h0 aa kf
섞,s0 vv kf
체험,ch ee h0 vv mf
일장,ii ll c0 aa ng
단발령,t0 aa nf p0 aa ll rr yv ng
여수,yv s0 uu
쌍떡잎,ss aa ng tt vv k0 ii pf
일자,ii ll c0 aa
노획,nn oo h0 wo kf
일임,ii rr ii mf
익,ii kf
불행히,p0 uu ll h0 qq ng h0 ii
균류,k0 yu ll rr yu
진출권,c0 ii nf ch uu ll k0 wv nf
팔리어,ph aa ll rr ii vv
들이,t0 xx rr ii
괘,k0 wq
파주,ph aa c0 uu
임,ii mf
관측,k0 wa nf ch xx kf
말라가,mm aa ll rr aa k0 aa
트웨인,th xx we ii nf
평준화,ph yv ng c0 uu nf h0 wa
자두,c0 aa t0 uu
위안부,wi aa nf p0 uu
랄드,rr aa ll t0 xx
튀빙겐,th wi p0 ii ng k0 ee nf
영토,yv ng th oo
부주석,p0 uu c0 uu s0 vv kf
언트,vv nf th xx
영통,yv ng th oo ng
물질적,mm uu ll cc ii ll c0 vv kf
처우,ch vv uu
코르스,kh oo rr xx s0 xx
덕원군,t0 vv k0 wv nf k0 uu nf
프랭스,ph xx rr qq ng s0 xx
물들이,mm uu ll t0 xx rr ii
통덕랑,th oo ng t0 vv ng nn aa ng
유선,yu s0 vv nf
넓,nn vv ll
힌두교,h0 ii nf t0 uu k0 yo
급성장,k0 xx pf ss vv ng c0 aa ng
일월,ii rr wv ll
일원,ii rr wv nf
하마다,h0 aa mm aa t0 aa
조이스틱,c0 oo ii s0 xx th ii kf
컨트리,kh vv nf th xx rr ii
대륙,t0 qq rr yu kf
골프,k0 oo ll ph xx
굴욕,k0 uu ll rr yo kf
납세자,nn aa pf ss ee c0 aa
일용,ii ll rr yo ng
일요,ii ll rr yo
청문,ch vv ng mm uu nf
일약,ii ll rr ya kf
머스,mm vv s0 xx
첫머리,ch vv nf mm vv rr ii
여생,yv s0 qq ng
유세,yu s0 ee
레소토,rr ee s0 oo th oo
청룡,ch vv ng nn yo ng
밤,p0 aa mf
뻔하,pp vv nf h0 aa
대형화,t0 qq h0 yv ng h0 wa
티볼리,th ii p0 oo ll rr ii
면제,mm yv nf c0 ee
머신,mm vv s0 ii nf
건조기,k0 vv nf c0 oo k0 ii
면접,mm yv nf c0 vv pf
수용체,s0 uu yo ng ch ee
면적,mm yv nf c0 vv kf
엄격히,vv mf k0 yv kh ii
용모,yo ng mm oo
여사,yv s0 aa
네가,nn ee k0 aa
벨리즈,p0 ee ll rr ii c0 xx
아로마,aa rr oo mm aa
광학적,k0 wa ng h0 aa kf cc vv kf
겨자,k0 yv c0 aa
결론짓,k0 yv ll rr oo nf c0 ii tf
십대,s0 ii pf tt qq
어는,vv nn xx nf
미흡,mm ii h0 xx pf
어느,vv nn xx
맏딸,mm aa tf tt aa ll
든가,t0 xx nf k0 aa
에너지,ee nn vv c0 ii
앨범,qq ll p0 vv mf
애국자,qq k0 uu kf cc aa
경량부,k0 yv ng nn ya ng p0 uu
카고,kh aa k0 oo
일어,ii rr vv
전문의,c0 vv nf mm uu nn xi
인류학,ii ll rr yu h0 aa kf
료,rr yo
최고점,ch wo k0 oo c0 vv mf
부들과,p0 uu t0 xx ll k0 wa
전문인,c0 vv nf mm uu nn ii nf
한계,h0 aa nf k0 ye
청렴,ch vv ng nn yv mf
남학생,nn aa mf h0 aa kf ss qq ng
때쯤,tt qq cc xx mf
잖아요,c0 aa nn aa yo
유니폼,yu nn ii ph oo mf
체형,ch ee h0 yv ng
미확인,mm ii h0 wa k0 ii nf
일쑤,ii ll ss uu
상성,s0 aa ng s0 vv ng
박은식,p0 aa k0 xx nf s0 ii kf
영포,yv ng ph oo
관찰,k0 wa nf ch aa ll
매뉴얼,mm qq nn yu vv ll
논산군,nn oo nf s0 aa nf k0 uu nf
크림슨,kh xx rr ii mf s0 xx nf
미완성,mm ii wa nf s0 vv ng
타이트,th aa ii th xx
체화,ch ee h0 wa
동의어,t0 oo ng xi vv
중형,c0 uu ng h0 yv ng
프레스토,ph xx rr ee s0 xx th oo
뉴턴,nn yu th vv nf
각본가,k0 aa kf pp oo nf k0 aa
우여곡절,uu yv k0 oo kf cc vv ll
민란,mm ii ll rr aa nf
사르트,s0 aa rr xx th xx
수녀회,s0 uu nn yv h0 wo
면직,mm yv nf c0 ii kf
관철,k0 wa nf ch vv ll
늦,nn xx tf
패러디,ph qq rr vv t0 ii
관청,k0 wa nf ch vv ng
캐터펄트,kh qq th vv ph vv ll th xx
판교,ph aa nf k0 yo
미화,mm ii h0 wa
선택,s0 vv nf th qq kf
괴한,k0 wo h0 aa nf
이형,ii h0 yv ng
수형자,s0 uu h0 yv ng c0 aa
탈리,th aa ll rr ii
저기압,c0 vv k0 ii aa pf
이상규,ii s0 aa ng k0 yu
화산섬,h0 wa s0 aa nf s0 vv mf
츠카사,ch xx kh aa s0 aa
푹,ph uu kf
미혹,mm ii h0 oo kf
미혼,mm ii h0 oo nf
여서,yv s0 vv
하마나,h0 aa mm aa nn aa
말리크,mm aa ll rr ii kh xx
평등,ph yv ng t0 xx ng
여섯,yv s0 vv tf
는다고,nn xx nf t0 aa k0 oo
종지부,c0 oo ng c0 ii p0 uu
여성,yv s0 vv ng
챙기,ch qq ng k0 ii
여세,yv s0 ee
은지,xx nf c0 ii
은진,xx nf c0 ii nf
마법사,mm aa p0 vv pf ss aa
럽트,rr vv pf th xx
다음날,t0 aa xx mf nn aa ll
노선도,nn oo s0 vv nf t0 oo
여단장,yv t0 aa nf c0 aa ng
리스트,rr ii s0 xx th xx
혼,h0 oo nf
다이내믹,t0 aa ii nn qq mm ii kf
애호가,qq h0 oo k0 aa
어두,vv t0 uu
찌르,cc ii rr xx
납득,nn aa pf tt xx kf
메틸화,mm ee th ii ll h0 wa
인간과,ii nf k0 aa nf k0 wa
겹잎,k0 yv p0 ii pf
여운,yv uu nf
여우,yv uu
여울,yv uu ll
어둡,vv t0 uu pf
급유기,k0 xx p0 yu k0 ii
판윤,ph aa nf nn yu nf
여와,yv wa
스탠리,s0 xx th qq ll rr ii
청빈,ch vv ng p0 ii nf
여왕,yv wa ng
전산학,c0 vv nf s0 aa nf h0 aa kf
판소리,ph aa nf s0 oo rr ii
받아들이,p0 aa t0 aa t0 xx rr ii
배급사,p0 qq k0 xx pf ss aa
슈터,s0 yu th vv
없,vv pf
총리,ch oo ng nn ii
평동,ph yv ng t0 oo ng
어드,vv t0 xx
노트,nn oo th xx
리소스,rr ii s0 oo s0 xx
미터,mm ii th vv
충목왕,ch uu ng mm oo k0 wa ng
뒤바뀌,t0 wi p0 aa kk wi
연희동,yv nf h0 xi t0 oo ng
는군요,nn xx nf k0 uu nf nn yo
몰아가,mm oo rr aa k0 aa
공집합,k0 oo ng c0 ii ph aa pf
태학사,th qq h0 aa kf ss aa
어디,vv t0 ii
격렬히,k0 yv ng nn yv ll h0 ii
포스트모더니즘,ph oo s0 xx th xx mm oo t0 vv nn ii c0 xx mf
생겨나,s0 qq ng k0 yv nn aa
김희선,k0 ii mf h0 xi s0 vv nf
넨,nn ee nf
처신,ch vv s0 ii nf
덕유산,t0 vv k0 yu s0 aa nf
어드벤처,vv t0 xx p0 ee nf ch vv
란저우,rr aa nf c0 vv uu
선화,s0 vv nf h0 wa
총련,ch oo ng nn yv nf
은주,xx nf c0 uu
본부인,p0 oo nf p0 uu ii nf
화산재,h0 wa s0 aa nf c0 qq
테크닉,th ee kh xx nn ii kf
여자,yv c0 aa
선호,s0 vv nf h0 oo
여장,yv c0 aa ng
영향,yv ng h0 ya ng
노파,nn oo ph aa
답답,t0 aa pf tt aa pf
매니아,mm qq nn ii aa
기준,k0 ii c0 uu nf
처스,ch vv s0 xx
체크,ch ee kh xx
금석문,k0 xx mf s0 vv ng mm uu nf
총론,ch oo ng nn oo nf
선형,s0 vv nf h0 yv ng
댈러스,t0 qq ll rr vv s0 xx
중계소,c0 uu ng k0 ye s0 oo
미크,mm ii kh xx
억지로,vv kf cc ii rr oo
눕,nn uu pf
일신,ii ll ss ii nf
자긍심,c0 aa k0 xx ng s0 ii mf
영하,yv ng h0 aa
일심,ii ll ss ii mf
영한,yv ng h0 aa nf
여의,yv xi
경영진,k0 yv ng nn yv ng c0 ii nf
힌디어,h0 ii nf t0 ii vv
영합,yv ng h0 aa pf
일시,ii ll ss ii
일식,ii ll ss ii kf
심장병,s0 ii mf c0 aa ng p0 yv ng
여이,yv ii
영해,yv ng h0 qq
어떤,vv tt vv nf
여인,yv ii nf
송화,s0 oo ng h0 wa
귀,k0 wi
은전,xx nf c0 vv nf
말하자면,mm aa ll h0 aa c0 aa mm yv nf
뿌리,pp uu rr ii
착복,ch aa kf pp oo kf
일스,ii ll s0 xx
심소법,s0 ii mf s0 oo p0 vv pf
은정,xx nf c0 vv ng
은제,xx nf c0 ee
이완용,ii wa nf nn yo ng
여유,yv yu
은자,xx nf c0 aa
선회,s0 vv nf h0 wo
평단,ph yv ng t0 aa nf
권하,k0 wv nf h0 aa
별동대,p0 yv ll t0 oo ng t0 qq
민담,mm ii nf t0 aa mf
노크,nn oo kh xx
관중,k0 wa nf c0 uu ng
면책,mm yv nf ch qq kf
유독성,yu t0 oo kf ss vv ng
민단,mm ii nf t0 aa nf
총무,ch oo ng mm uu
려,rr yv
표현형,ph yo h0 yv nf h0 yv ng
청보,ch vv ng p0 oo
어째서,vv cc qq s0 vv
선하,s0 vv nf h0 aa
처소,ch vv s0 oo
일성,ii ll s0 vv ng
벌어들이,p0 vv rr vv t0 xx rr ii
반대자,p0 aa nf t0 qq c0 aa
일설,ii ll s0 vv ll
길림성,k0 ii ll rr ii mf s0 vv ng
일선,ii ll s0 vv nf
평년,ph yv ng nn yv nf
영효,yv ng h0 yo
명문화,mm yv ng mm uu nf h0 wa
퀄리티,kh wv ll rr ii th ii
티스,th ii s0 xx
받들,p0 aa tf tt xx ll
되돌아오,t0 wo t0 oo rr aa oo
멸,mm yv ll
슈,s0 yu
ㄴ바,p0 aa
사쓰마,s0 aa ss xx mm aa
영화,yv ng h0 wa
정인지,c0 vv ng ii nf c0 ii
슈팅,s0 yu th ii ng
자줏빛,c0 aa c0 uu tf pp ii tf
히메지,h0 ii mm ee c0 ii
팩,ph qq kf
노태,nn oo th qq
수압,s0 uu aa pf
면천,mm yv nf ch vv nf
관직,k0 wa nf c0 ii kf
영현,yv ng h0 yv nf
잎맥,ii mf mm qq kf
뮤츠,mm yu ch xx
래프트,rr qq ph xx th xx
테크노,th ee kh xx nn oo
슈퍼,s0 yu ph vv
선행,s0 vv nf h0 qq ng
이회,ii h0 wo
미팅,mm ii th ii ng
납,nn aa pf
체포,ch ee ph oo
테미스,th ee mm ii s0 xx
영호,yv ng h0 oo
일소,ii ll s0 oo
영혼,yv ng h0 oo nf
관저,k0 wa nf c0 vv
고르,k0 oo rr xx
관전,k0 wa nf c0 vv nf
높으,nn oo ph xx
관절,k0 wa nf c0 vv ll
루머,rr uu mm vv
스뮈츠,s0 xx mm wi ch xx
관점,k0 wa nf c0 vv mf
폄하,ph yv mf h0 aa
관정,k0 wa nf c0 vv ng
관제,k0 wa nf c0 ee
자연스레,c0 aa yv nf s0 xx rr ee
슈트,s0 yu th xx
주안점,c0 uu aa nf c0 vv mf
관상용,k0 wa nf s0 aa ng nn yo ng
건문제,k0 vv nf mm uu nf c0 ee
높이,nn oo ph ii
효과음,h0 yo k0 wa xx mf
청부,ch vv ng p0 uu
불합하,p0 uu ll h0 aa ph aa
라틴어,rr aa th ii nn vv
미트,mm ii th xx
감지기,k0 aa mf c0 ii k0 ii
탕,th aa ng
어라,vv rr aa
포엽,ph oo yv pf
처사,ch vv s0 aa
무인도,mm uu ii nf t0 oo
관조,k0 wa nf c0 oo
어린이,vv rr ii nn ii
알코올,aa ll kh oo oo ll
여아,yv aa
이르렀다,ii rr xx rr vv tf tt aa
밍,mm ii ng
허수,h0 vv s0 uu
총명,ch oo ng mm yv ng
앨리,qq ll rr ii
광복절,k0 wa ng p0 oo kf cc vv ll
영흥,yv ng h0 xx ng
체트,ch ee th xx
일생,ii ll ss qq ng
영희,yv ng h0 xi
북한산,p0 uu kh aa nf s0 aa nf
제도적,c0 ee t0 oo c0 vv kf
일상,ii ll s0 aa ng
여야,yv ya
태봉,th qq p0 oo ng
편리성,ph yv ll rr ii s0 vv ng
일색,ii ll ss qq kf
일산,ii ll s0 aa nf
애국심,qq k0 uu kf ss ii mf
일삼,ii ll s0 aa mf
케인스,kh ee ii nf s0 xx
게르,k0 ee rr xx
일사,ii ll s0 aa
도루,t0 oo rr uu
